epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,23575.4,1.62116,1.55129,1.47768,0.49595,0.40944,0.37723,0.17497,1.71329,1.46364,1.53351,0.0011882,0.0011882,0.0011882
43,24125.6,1.60162,1.53894,1.48876,0.49433,0.40587,0.37121,0.16816,1.77825,1.51498,1.5665,0.0011684,0.0011684,0.0011684
44,24676.2,1.61137,1.55315,1.49307,0.50119,0.3891,0.37784,0.18007,1.72085,1.43092,1.51281,0.0011486,0.0011486,0.0011486
45,25225.8,1.59891,1.54585,1.46689,0.48763,0.38937,0.37085,0.17392,1.69453,1.4396,1.54203,0.0011288,0.0011288,0.0011288
46,25777.2,1.61131,1.53159,1.47821,0.52524,0.39422,0.37802,0.1779,1.69554,1.44033,1.52343,0.001109,0.001109,0.001109
47,26331.4,1.60428,1.5022,1.47226,0.50466,0.43203,0.40671,0.19462,1.66356,1.36452,1.48904,0.0010892,0.0010892,0.0010892
48,26884.4,1.588,1.51303,1.45329,0.50112,0.42361,0.38963,0.18133,1.69224,1.39079,1.51817,0.0010694,0.0010694,0.0010694
49,27437.4,1.59202,1.49293,1.46142,0.51419,0.40634,0.39102,0.184,1.70194,1.45774,1.52349,0.0010496,0.0010496,0.0010496
50,27992.8,1.60715,1.49584,1.44482,0.49461,0.41519,0.39516,0.18798,1.66004,1.3873,1.48959,0.0010298,0.0010298,0.0010298
51,28545.4,1.56057,1.46827,1.43558,0.51027,0.42358,0.40911,0.19357,1.67901,1.35534,1.49396,0.00101,0.00101,0.00101
52,29097.4,1.55088,1.46157,1.44479,0.51427,0.41333,0.39738,0.18654,1.70176,1.36808,1.49901,0.0009902,0.0009902,0.0009902
53,29649.3,1.55428,1.47338,1.44441,0.52719,0.39655,0.38633,0.17869,1.69582,1.40136,1.49494,0.0009704,0.0009704,0.0009704
54,30202.4,1.55313,1.42598,1.41007,0.51911,0.42203,0.40303,0.18908,1.70045,1.38201,1.49185,0.0009506,0.0009506,0.0009506
55,30753.3,1.55184,1.45211,1.45492,0.48254,0.42731,0.39481,0.18856,1.69438,1.40835,1.49878,0.0009308,0.0009308,0.0009308
56,31306.9,1.53693,1.44185,1.44487,0.50973,0.43458,0.40133,0.18758,1.65919,1.33675,1.47726,0.000911,0.000911,0.000911
57,31861.5,1.54235,1.43525,1.42897,0.49003,0.42451,0.38369,0.18401,1.68988,1.45714,1.51294,0.0008912,0.0008912,0.0008912
58,32415.9,1.53991,1.42745,1.42593,0.48169,0.44692,0.38461,0.18308,1.65203,1.40666,1.48388,0.0008714,0.0008714,0.0008714
59,32972.7,1.51146,1.3833,1.40863,0.48765,0.44641,0.40849,0.1986,1.61657,1.29838,1.45764,0.0008516,0.0008516,0.0008516
60,33524.6,1.54234,1.40976,1.44029,0.50936,0.42824,0.40552,0.19815,1.66109,1.34313,1.49043,0.0008318,0.0008318,0.0008318
61,34076.3,1.50535,1.38963,1.40142,0.49897,0.45107,0.41255,0.20106,1.65208,1.35114,1.48054,0.000812,0.000812,0.000812
62,34628.3,1.50811,1.37459,1.39136,0.49427,0.44632,0.40657,0.1965,1.66022,1.3603,1.49492,0.0007922,0.0007922,0.0007922
63,35180.7,1.50274,1.36888,1.38819,0.51189,0.43346,0.40566,0.19218,1.67204,1.31973,1.49981,0.0007724,0.0007724,0.0007724
64,35735.8,1.47126,1.34411,1.39015,0.51793,0.4343,0.40488,0.191,1.65755,1.37901,1.48405,0.0007526,0.0007526,0.0007526
65,36290.9,1.47567,1.38048,1.40766,0.52315,0.42125,0.40894,0.19803,1.63898,1.37429,1.48309,0.0007328,0.0007328,0.0007328
66,36847.5,1.49627,1.33137,1.39615,0.49685,0.43942,0.39766,0.19071,1.65082,1.34321,1.48498,0.000713,0.000713,0.000713
67,37401.1,1.46436,1.3563,1.3883,0.49741,0.44781,0.40513,0.19887,1.63608,1.31921,1.47368,0.0006932,0.0006932,0.0006932
68,37951.1,1.47262,1.32309,1.36651,0.51151,0.43383,0.40663,0.1996,1.62759,1.34581,1.47826,0.0006734,0.0006734,0.0006734
69,38509.9,1.45304,1.28524,1.35315,0.51583,0.47362,0.43613,0.20955,1.6393,1.28953,1.48111,0.0006536,0.0006536,0.0006536
70,39083.1,1.46158,1.32447,1.39458,0.54062,0.44222,0.42645,0.20668,1.63703,1.31755,1.47207,0.0006338,0.0006338,0.0006338
71,39663.3,1.43791,1.2883,1.36809,0.52885,0.45663,0.43063,0.21464,1.60803,1.29867,1.4524,0.000614,0.000614,0.000614
72,40240.3,1.46336,1.30809,1.37886,0.52926,0.41913,0.4101,0.20218,1.63031,1.35135,1.47366,0.0005942,0.0005942,0.0005942
73,40819.7,1.44037,1.2819,1.36509,0.52664,0.46349,0.43143,0.2126,1.59779,1.30403,1.46692,0.0005744,0.0005744,0.0005744
74,41396.8,1.44992,1.28357,1.36275,0.54149,0.45014,0.42714,0.21041,1.64155,1.30554,1.47124,0.0005546,0.0005546,0.0005546
75,41977.8,1.44435,1.25019,1.35025,0.52159,0.45853,0.41052,0.20364,1.61904,1.35611,1.46348,0.0005348,0.0005348,0.0005348
76,42559.2,1.46387,1.26324,1.36331,0.53859,0.42032,0.41949,0.20753,1.60234,1.31569,1.45456,0.000515,0.000515,0.000515
77,43135.7,1.41012,1.26926,1.37388,0.55908,0.45806,0.44704,0.21991,1.60409,1.25805,1.45931,0.0004952,0.0004952,0.0004952
78,43697.9,1.42495,1.24591,1.35112,0.55603,0.41799,0.41528,0.20348,1.63633,1.33363,1.47718,0.0004754,0.0004754,0.0004754
79,44257.4,1.41899,1.25426,1.36653,0.51296,0.44781,0.40847,0.20286,1.62158,1.33608,1.45264,0.0004556,0.0004556,0.0004556
80,44819.7,1.41112,1.23726,1.3501,0.52631,0.45717,0.43289,0.21585,1.608,1.29581,1.4503,0.0004358,0.0004358,0.0004358
81,45378.6,1.37579,1.23536,1.33448,0.52486,0.46179,0.43283,0.21679,1.59351,1.26552,1.45096,0.000416,0.000416,0.000416
82,45937.5,1.39885,1.16978,1.31508,0.52341,0.44548,0.41927,0.20688,1.60423,1.31232,1.44033,0.0003962,0.0003962,0.0003962
83,46499.7,1.40621,1.2098,1.35029,0.53619,0.44501,0.42623,0.20964,1.60985,1.30068,1.45328,0.0003764,0.0003764,0.0003764
84,47316.8,1.39981,1.20216,1.33919,0.55202,0.44781,0.43565,0.2186,1.595,1.29646,1.45582,0.0003566,0.0003566,0.0003566
85,48312.4,1.40749,1.20476,1.34611,0.50185,0.4739,0.42851,0.21421,1.58396,1.28617,1.44969,0.0003368,0.0003368,0.0003368
86,49285.4,1.37901,1.19848,1.32337,0.53695,0.44903,0.4315,0.21418,1.59308,1.31218,1.45319,0.000317,0.000317,0.000317
87,49864.9,1.39518,1.17546,1.32708,0.52428,0.47349,0.43748,0.21859,1.59716,1.26595,1.45214,0.0002972,0.0002972,0.0002972
88,50440.9,1.36624,1.17019,1.31009,0.51482,0.48183,0.4498,0.22744,1.57272,1.23099,1.44054,0.0002774,0.0002774,0.0002774
89,51018.7,1.39654,1.18974,1.32968,0.49952,0.46086,0.41458,0.20787,1.57556,1.28568,1.44029,0.0002576,0.0002576,0.0002576
90,51582.3,1.35513,1.16708,1.32646,0.49615,0.46437,0.41861,0.20889,1.60922,1.29673,1.4713,0.0002378,0.0002378,0.0002378
91,52134.3,1.34056,1.06732,1.31066,0.50295,0.47018,0.41964,0.21067,1.59765,1.30778,1.46629,0.000218,0.000218,0.000218
92,52686.2,1.33112,1.02644,1.29191,0.53723,0.45387,0.42982,0.21438,1.60221,1.29957,1.46031,0.0001982,0.0001982,0.0001982
93,53238.4,1.32495,1.01769,1.29024,0.52952,0.45107,0.42621,0.2156,1.58949,1.28465,1.45083,0.0001784,0.0001784,0.0001784
94,53789.5,1.32758,1.00342,1.28838,0.51922,0.4534,0.42245,0.2133,1.5986,1.30538,1.45397,0.0001586,0.0001586,0.0001586
95,54342.2,1.30544,1.01811,1.30327,0.53133,0.4562,0.43747,0.21894,1.58687,1.26948,1.44946,0.0001388,0.0001388,0.0001388
96,54894.1,1.31364,0.993,1.28234,0.54314,0.46272,0.43042,0.21328,1.59392,1.2794,1.45143,0.000119,0.000119,0.000119
97,55446.4,1.31871,0.98926,1.29729,0.53177,0.46692,0.43659,0.2185,1.58288,1.25972,1.44593,9.92e-05,9.92e-05,9.92e-05
98,55999.9,1.30376,0.98246,1.28411,0.55446,0.45059,0.43142,0.21645,1.58501,1.26561,1.45053,7.94e-05,7.94e-05,7.94e-05
99,56552.9,1.29523,0.95926,1.27264,0.54474,0.45573,0.43448,0.21796,1.58664,1.27034,1.44827,5.96e-05,5.96e-05,5.96e-05
100,57106.6,1.30127,0.96811,1.26731,0.53568,0.4704,0.43393,0.2182,1.58855,1.27215,1.44993,3.98e-05,3.98e-05,3.98e-05
